<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,December,194.5099420349208,369.1777709054981,275.79595936693954,199.46744588743746,255.15715669897065,207.08631318439308,257.0768071577214,179.16371321976044,233.48626824994116,285.8222249577625,168.43703393659783,328.7897401134611,273.3440814086801,247.2788683750632,

,2019      January,162.42726184316945,317.8525894306114,234.7583027326098,209.13268931015284,280.4304229913836,30.125904931957603,283.0911259934229,105.37430205774226,229.6237163000901,334.1190352696266,113.5341088732254,310.5266958336349,279.612630070242,238.65897920855824,
,              February,122.91440550755462,286.959483376173,199.2568615229742,175.77932757634554,222.5226729040889,42.04264644728121,219.91218551653165,191.11401280059818,195.8649958494979,275.0524898046092,121.56152694894071,251.11932423329637,234.7639895219604,202.6523256640667,
,              March,197.60730170986662,351.652531346287,269.29607970125636,254.00967060042655,223.90048932394492,309.7328390785838,258.40694331040675,85.89197341899207,232.25463547356267,302.9000072495316,126.23542130420651,311.01792656647893,267.6293915698324,244.20622720062389,
,  April,171.84872574747274,298.98864899219234,231.01645040110347,179.990382672666,224.5903685397776,202.55937651641415,237.15845033113828,234.5050202692615,203.4276387711873,290.9586653642333,289.96910406257985,228.68411557961971,272.0958702427717,220.77224672512722,
,  May,190.84281203915063,321.5700268159214,251.67997200628363,248.0568455155823,269.80041293515455,82.81127479425878,274.7493542272184,168.51804802971787,243.61459835928733,289.5319304037119,146.58651311330345,341.45632582049757,274.4183097557678,249.122255968066,
,  June,138.36882984624572,261.16678873730865,195.5159134236777,175.36589018864714,234.7297069209849,63.707296438412925,221.2388396548233,231.23358869990273,196.19925310723835,247.7150101428936,73.68193785268635,224.97565142387887,203.419144733856,195.67098508692504,
,  July,154.30565663919938,400.26598142264027,268.76940965321285,193.28013182483053,256.6973034500253,93.17692428319623,270.1432543784666,246.90325500489791,225.01785876208984,270.1775026142154,147.4582115434964,338.1649956823732,264.33311174110764,239.03901184453665,
, August,168.38910934074872,351.29061987954736,253.50687516999804,162.23193738332213,243.76717897525498,252.92403094782136,242.75535223486185,177.2170766434945,202.72520784694822,260.3902275193605,187.64034237297184,304.8776514723015,257.97169979166847,221.68047329169607,
,  September,133.7112186500662,367.6260092928814,242.5692828359794,223.18132871415528,265.42829704839147,239.54319704854183,250.17036674520466,220.24059058747608,238.54868657361774,296.2349092195124,172.29454973015453,318.837206320454,276.21219394427794,244.76815643638508,
, October,187.62279505886815,425.47332568554043,298.31245370960505,195.2382275807094,294.9763323618985,219.91846743099492,284.7072715796422,239.56143082962015,248.90299220752826,314.2210085647408,125.25347888300654,313.57566620556923,273.2913530343925,260.79130686471,
, November,203.58564973305243,381.8983983742177,286.5679211123197,201.2274519850366,271.8208174659794,72.6596585111254,243.76795460619243,428.8104877880652,236.07321332809997,309.4573959925081,150.10154645115344,266.8384725018658,262.50081469081823,248.5857200132569,
, December,215.2778350419163,405.6606737902769,303.8772229789184,210.80713841988123,264.02009948036977,139.32121039295154,248.06965733920552,145.351855973389,228.5936809376339,343.0966249042484,253.88722462027528,273.91312529643244,304.0802716361536,255.98343753138803,

,2020       January,214.74541286143042,374.88832518566136,289.2718991122718,184.78797372927568,320.1035575698475,47.85111369304255,274.4473030984441,64.52499807324995,223.53945438474108,372.349896441146,162.13276248662407,279.4868805360546,299.250192546711,249.17855205825566,
,    February,197.84788399308556,320.36506358821225,254.86429994349356,265.3490988312978,193.86813518904617,106.24883363376117,238.59220818834874,61.209543822502916,218.22826765044678,264.3305893567545,105.8908412384707,240.3128683062467,222.97151256383168,224.5336006928141,
,               March,212.38978239704974,211.57866251485027,212.01230759113304,153.50438355098154,151.18478747572007,54.44151693911243,196.51320196229065,462.56398878254726,170.74905147022088,191.25371016824164,111.55935514109682,173.68096125666625,168.80061257692807,176.51962803104828,
,              April,211.94596095649777,294.84669186248743,250.5258774347315,82.09618012800243,166.36182235363344,248.7981379373205,255.92248230789627,69.49493011537567,145.12809728358087,173.31840362425228,246.67478828943734,162.08018326678902,185.65719437915905,171.57759574091926,
,   May,184.09245854354003,246.34868680144035,213.0649423828365,41.243386341826,133.41649552636267,247.1168199279645,232.10403933805043,299.32021340328765,120.4784587972396,235.67297233911657,83.57551897874659,140.2935536093574,174.33480814079493,147.78768582609482,
,  June,152.08992092169174,252.20632012166854,198.68157671320353,71.68566234953254,191.67127674504235,182.34155533665285,238.8872175800179,206.92553837862542,138.4964911142389,216.062437372857,54.07481622453806,187.20542472997786,172.57559398544043,155.35609520226885,
,  July,194.1525250762756,273.0368062128218,230.86328678409035,129.9310253361123,214.9554400627567,74.47747205566915,281.08126895989886,198.86254204187864,179.95201478238687,231.53662240970831,58.881576092752816,226.05606057608375,192.67145529312054,190.31569581497746,
,  August,157.4500489510173,208.72240098449527,181.31091287195602,159.7299754798946,210.88355890015978,67.26279068479332,246.4552322563729,340.39153361731263,192.9352443884639,260.5680988925443,30.23476896840896,195.88310069007608,191.57944837234808,188.66379341108737,
,  September,185.92389378707404,240.97651965829695,211.5440021360316,138.18078823350703,226.1589069356984,120.43267648096634,301.2108730415894,449.2542938280464,215.5322871737855,377.56952037724477,77.02458175664145,223.15044453116855,266.7226241724257,223.3400660554001,
,  October,181.7775484428775,218.86338934122503,199.0363666552986,143.82509031749237,235.98221733433908,183.12625455671883,270.2495461914106,177.58454685525055,198.8220030189158,267.8270841275717,75.24878080214182,208.46775928721624,208.54287483889664,198.95710534253996,
,  November,184.69712354136186,222.9717599797285,202.50917731808264,115.3985394538854,234.84303105037856,547.2120454771634,299.9635800791921,210.0167628315435,199.4068532394975,293.4728588148447,100.36903652363169,187.7557414986931,220.27344736867605,202.39498471707216,
,  December,237.3718035670262,292.7110058095536,263.12527735617635,153.58502085611204,257.8568505179907,251.74618388025888,313.7367918184159,313.6411409808776,213.50302498428658,313.7125667643439,55.705909183618,253.200586471858,240.00499119734025,226.19687238891112,

,2021       January,280.93372198625224,284.01310026487926,282.3667872378607,206.0076003572653,264.27473376738953,39.75188830786708,342.5551540839791,52.26084125188639,229.83147466929282,327.4886574994972,87.16057303782348,215.83052557890304,242.23145349851342,239.9887873972353,
,    February,205.22537553004022,252.08446998633758,227.03242030048628,216.86039283400586,253.63391903046573,120.0498846206377,306.53628988424583,430.8726304741881,242.05481236541715,298.4717074407362,71.50652359691664,223.54948616315437,227.04095490819114,234.04861752192488,
,               March,299.75436989200415,344.7764093027844,320.70649541810315,238.67630341004582,290.0005886813683,141.5620399047148,438.5451390335406,244.8539117148189,293.4975116141188,429.2278627294091,122.68048947229774,271.5985292702761,315.9177379827506,300.2976736008237,
,               April,195.66114354938998,282.1601128321902,235.91558972753128,284.71014217192715,264.57003338357714,412.20526180149176,362.86665153750835,211.08325440639265,279.8654572139962,357.0897531214294,94.87489603313362,250.2284784046076,268.48841712737266,266.7519222505675,
,   May,193.80295695545163,243.92210836489352,217.1271502913214,230.25741085641732,276.0081077663923,114.7428591510376,411.1948207311113,165.86129397745643,275.1372428552554,290.22110988541476,83.25608506657028,260.7064937498153,236.91465314759338,253.94585740268235,
,   June,264.56480031890754,399.9732421994955,327.58048571889486,46.23092608069946,324.4345971309824,19.557034069697927,415.60960655946934,348.24353581988964,221.06253913668266,428.57555314544766,166.92696909521163,306.31839020399093,335.7829727360656,262.4301723965292,
,   July,189.1750145342407,414.3440520492758,293.96302503640976,178.71790213155825,294.7678849189939,49.239119237052314,347.25480360235076,210.4335950644737,259.02647754407855,368.1341594522861,160.74135606986707,270.6917038229806,295.20700637457463,270.6983583835329,
,   August,191.66081295105027,379.0281104657006,278.85684379262284,246.79901252479777,283.8688890698124,8.263060017707984,327.6572313652867,440.76316056875925,267.0288699610097,356.39970163561463,106.39778310842803,252.53432318473037,271.6319155841231,267.6823175089204,
,   September,177.86408730660452,374.13950595707746,269.20573382179225,141.66867641077044,310.6988892862476,3.8068635076959634,324.0908482529341,206.11934969528306,225.98444671832445,363.5841364983405,153.82781634713805,251.87916803127223,285.1561052054391,243.98778067747,
,  October,157.5947018437583,251.9790973818259,201.51882720323852,270.2056153645333,313.60485628860226,138.3109093235593,320.2193787130777,563.1039458544899,300.33866864888734,327.89793615942085,63.91250852004744,269.31345830175326,253.5369950722509,269.68579054843775,
,  November,220.09785071021474,316.1304468085265,264.78900718339776,224.44018164197502,352.1062019244173,12.308147597141561,351.6424299756288,214.90401892155376,270.7682228548697,395.4945831721781,236.16309326174496,314.5920080989382,337.2522519535279,281.9570823557784,
,  December,276.66792903567284,460.47895512906,362.20896054362254,311.0413687878717,352.0305237742337,328.31889571895135,410.6118461955486,243.5205383648146,363.37870395048077,491.8245394035899,75.0402713677013,322.73924329347545,351.4198277026756,357.2552753169811,

,2022 (b) January,302.60442547822805,320.933007405042,311.13408682346784,302.5805725146566,374.1412929486638,22.173404249047525,357.30274723496524,335.8085030505573,322.1148678111908,389.735768437209,67.48915749594765,322.7188821619578,300.15094361107987,312.4653383088424,
,    February,261.23732665232063,255.38790154194442,258.515151229526,325.4117262928394,382.44011470777343,37.23479925826637,380.2825146228849,127.68844698639981,324.4987599875854,359.03624567693606,47.42486136760951,300.8563310070983,274.809688211297,299.0840578796541,
,               March,336.3835613009785,278.46055628559213,309.42765064446024,464.14419117950666,361.4393650901971,168.45123714645712,455.51926580859714,247.7867343545121,397.2893068755524,461.1515331497196,131.06200014015985,338.03487540497787,353.28602436431055,368.30656905313936,
,               April,379.41575820353785,258.3121790422484,323.0571963646078,568.7533805410377,527.0478704154044,289.15329089967315,624.2913280275782,267.8299366770462,504.0384719744142,455.26801122517145,61.458315641121956,311.97691987816336,327.7627446672584,429.59271831763726,
,   May,308.97711675255306,230.93764529744118,272.6595082364357,578.0738857809949,511.652156127823,38.08028219869795,555.0415461892151,306.92465420797214,490.40786671653433,427.4499913394659,104.97543647965288,331.90949948257776,329.3133536630851,412.39213246666304,
,   June,257.29730762723585,290.43904142766576,272.7206375302544,251.5892843325922,593.7326127509837,24.461562930116944,569.4329944655569,175.94849563235934,387.4913646086408,446.9853400446862,55.04550748042231,320.32799889661436,324.82938364981817,349.73372195234924,
